x t u err
0.000000 0.000000 0.00000000 0.00000000
0.100000 0.000000 0.30901699 0.00000000
0.200000 0.000000 0.58778525 0.00000000
0.300000 0.000000 0.80901699 0.00000000
0.400000 0.000000 0.95105652 0.00000000
0.500000 0.000000 1.00000000 0.00000000
0.600000 0.000000 0.95105652 0.00000000
0.700000 0.000000 0.80901699 0.00000000
0.800000 0.000000 0.58778525 0.00000000
0.900000 0.000000 0.30901699 0.00000000
1.000000 0.000000 0.00000000 0.00000000
0.000000 0.005000 0.00000000 0.00000000
0.100000 0.005000 0.29389263 -0.00024514
0.200000 0.005000 0.55901699 -0.00046628
0.300000 0.005000 0.76942088 -0.00064179
0.400000 0.005000 0.90450850 -0.00075446
0.500000 0.005000 0.95105652 -0.00079329
0.600000 0.005000 0.90450850 -0.00075446
0.700000 0.005000 0.76942088 -0.00064179
0.800000 0.005000 0.55901699 -0.00046628
0.900000 0.005000 0.29389263 -0.00024514
1.000000 0.005000 0.00000000 -0.00000000
0.000000 0.010000 0.00000000 0.00000000
0.100000 0.010000 0.27950850 -0.00046648
0.200000 0.010000 0.53165676 -0.00088730
0.300000 0.010000 0.73176275 -0.00122126
0.400000 0.010000 0.86023870 -0.00143568
0.500000 0.010000 0.90450850 -0.00150956
0.600000 0.010000 0.86023870 -0.00143568
0.700000 0.010000 0.73176275 -0.00122126
0.800000 0.010000 0.53165676 -0.00088730
0.900000 0.010000 0.27950850 -0.00046648
1.000000 0.010000 0.00000000 -0.00000000
0.000000 0.015000 0.00000000 0.00000000
0.100000 0.015000 0.26582838 -0.00066575
0.200000 0.015000 0.50563562 -0.00126633
0.300000 0.015000 0.69594773 -0.00174296
0.400000 0.015000 0.81813562 -0.00204897
0.500000 0.015000 0.86023870 -0.00215441
0.600000 0.015000 0.81813562 -0.00204897
0.700000 0.015000 0.69594773 -0.00174296
0.800000 0.015000 0.50563562 -0.00126633
0.900000 0.015000 0.26582838 -0.00066575
1.000000 0.015000 0.00000000 -0.00000000
0.000000 0.020000 0.00000000 0.00000000
0.100000 0.020000 0.25281781 -0.00084457
0.200000 0.020000 0.48088805 -0.00160647
0.300000 0.020000 0.66188562 -0.00221112
0.400000 0.020000 0.77809321 -0.00259933
0.500000 0.020000 0.81813562 -0.00273310
0.600000 0.020000 0.77809321 -0.00259933
0.700000 0.020000 0.66188562 -0.00221112
0.800000 0.020000 0.48088805 -0.00160647
0.900000 0.020000 0.25281781 -0.00084457
1.000000 0.020000 0.00000000 -0.00000000
0.000000 0.025000 0.00000000 0.00000000
0.100000 0.025000 0.24044403 -0.00100446
0.200000 0.025000 0.45735172 -0.00191061
0.300000 0.025000 0.62949063 -0.00262972
0.400000 0.025000 0.74001062 -0.00309142
0.500000 0.025000 0.77809321 -0.00325052
0.600000 0.025000 0.74001062 -0.00309142
0.700000 0.025000 0.62949063 -0.00262972
0.800000 0.025000 0.45735172 -0.00191061
0.900000 0.025000 0.24044403 -0.00100446
1.000000 0.025000 0.00000000 -0.00000000
0.000000 0.030000 0.00000000 0.00000000
0.100000 0.030000 0.22867586 -0.00114684
0.200000 0.030000 0.43496733 -0.00218142
0.300000 0.030000 0.59868117 -0.00300247
0.400000 0.030000 0.70379192 -0.00352962
0.500000 0.030000 0.74001062 -0.00371126
0.600000 0.030000 0.70379192 -0.00352962
