x t u err
0.000000 0.000000 0.00000000 0.00000000
0.020000 0.000000 0.06279052 0.00000000
0.040000 0.000000 0.12533323 0.00000000
0.060000 0.000000 0.18738131 0.00000000
0.080000 0.000000 0.24868989 0.00000000
0.100000 0.000000 0.30901699 0.00000000
0.120000 0.000000 0.36812455 0.00000000
0.140000 0.000000 0.42577929 0.00000000
0.160000 0.000000 0.48175367 0.00000000
0.180000 0.000000 0.53582679 0.00000000
0.200000 0.000000 0.58778525 0.00000000
0.220000 0.000000 0.63742399 0.00000000
0.240000 0.000000 0.68454711 0.00000000
0.260000 0.000000 0.72896863 0.00000000
0.280000 0.000000 0.77051324 0.00000000
0.300000 0.000000 0.80901699 0.00000000
0.320000 0.000000 0.84432793 0.00000000
0.340000 0.000000 0.87630668 0.00000000
0.360000 0.000000 0.90482705 0.00000000
0.380000 0.000000 0.92977649 0.00000000
0.400000 0.000000 0.95105652 0.00000000
0.420000 0.000000 0.96858316 0.00000000
0.440000 0.000000 0.98228725 0.00000000
0.460000 0.000000 0.99211470 0.00000000
0.480000 0.000000 0.99802673 0.00000000
0.500000 0.000000 1.00000000 0.00000000
0.520000 0.000000 0.99802673 0.00000000
0.540000 0.000000 0.99211470 0.00000000
0.560000 0.000000 0.98228725 0.00000000
0.580000 0.000000 0.96858316 0.00000000
0.600000 0.000000 0.95105652 0.00000000
0.620000 0.000000 0.92977649 0.00000000
0.640000 0.000000 0.90482705 0.00000000
0.660000 0.000000 0.87630668 0.00000000
0.680000 0.000000 0.84432793 0.00000000
0.700000 0.000000 0.80901699 0.00000000
0.720000 0.000000 0.77051324 0.00000000
0.740000 0.000000 0.72896863 0.00000000
0.760000 0.000000 0.68454711 0.00000000
0.780000 0.000000 0.63742399 0.00000000
0.800000 0.000000 0.58778525 0.00000000
0.820000 0.000000 0.53582680 0.00000000
0.840000 0.000000 0.48175367 0.00000000
0.860000 0.000000 0.42577929 0.00000000
0.880000 0.000000 0.36812455 0.00000000
0.900000 0.000000 0.30901699 0.00000000
0.920000 0.000000 0.24868989 0.00000000
0.940000 0.000000 0.18738131 0.00000000
0.960000 0.000000 0.12533323 0.00000000
0.980000 0.000000 0.06279052 0.00000000
1.000000 0.000000 0.00000000 0.00000000
0.000000 0.000200 0.00000000 0.00000000
0.020000 0.000200 0.06266662 -0.00000008
0.040000 0.000200 0.12508592 -0.00000016
0.060000 0.000200 0.18701156 -0.00000024
0.080000 0.000200 0.24819915 -0.00000032
0.100000 0.000200 0.30840722 -0.00000040
0.120000 0.000200 0.36739814 -0.00000048
0.140000 0.000200 0.42493911 -0.00000055
0.160000 0.000200 0.48080304 -0.00000063
0.180000 0.000200 0.53476946 -0.00000070
0.200000 0.000200 0.58662539 -0.00000076
0.220000 0.000200 0.63616618 -0.00000083
0.240000 0.000200 0.68319631 -0.00000089
0.260000 0.000200 0.72753017 -0.00000095
0.280000 0.000200 0.76899281 -0.00000100
0.300000 0.000200 0.80742058 -0.00000105
0.320000 0.000200 0.84266184 -0.00000110
0.340000 0.000200 0.87457749 -0.00000114
0.360000 0.000200 0.90304158 -0.00000117
0.380000 0.000200 0.92794178 -0.00000121
0.400000 0.000200 0.94917982 -0.00000123
0.420000 0.000200 0.96667188 -0.00000126
0.440000 0.000200 0.98034893 -0.00000127
0.460000 0.000200 0.99015699 -0.00000129
0.480000 0.000200 0.99605735 -0.00000130
0.500000 0.000200 0.99802673 -0.00000130
0.520000 0.000200 0.99605735 -0.00000130
0.540000 0.000200 0.99015699 -0.00000129
0.560000 0.000200 0.98034893 -0.00000127
0.580000 0.000200 0.96667188 -0.00000126
